topic_id,topic_name,subject_name,question_count,percentage_of_total,unique_years_count,first_year_asked,last_year_asked,short_questions_count,long_questions_count
GEOOPT-002,Human & Economic Geography Optional,Geography (Optional Specialization),280,44.73%,1,2026,2026,4,276
HIST-001,Freedom Movement & Revolts in Bihar,"History, Art & Culture",167,26.68%,7,2018,2025,12,155
ESSAY-001,General & Philosophical Reflections,Essay & Philosophical Themes,26,4.15%,4,2023,2026,0,26
ECON-003,Agrarian Economy & Land Reforms,Indian & Bihar Economy,18,2.88%,6,2018,2025,6,12
POLITY-001,Executive (President & Governor),Polity & Governance,10,1.60%,7,2018,2025,4,6
POLITY-004,"Elections, Preamble & Constitutional Bodies",Polity & Governance,10,1.60%,5,2018,2025,3,7
POLITY-002,"Judiciary, Rights & Doctrines",Polity & Governance,9,1.44%,5,2019,2024,5,4
SCITECH-002,"IT, AI, 5G & E-Governance",Science & Technology,9,1.44%,5,2019,2024,6,3
HIST-002,"Art, Architecture & Culture of Bihar","History, Art & Culture",8,1.28%,6,2018,2024,4,4
STAT-001,Data Interpretation & Graphical Analysis,Statistical Analysis & Data Interpretation,7,1.12%,5,2018,2024,1,6
HIST-005,National Thinkers & Social Visions,"History, Art & Culture",7,1.12%,5,2018,2024,2,5
HIST-004,Education & Political Consciousness,"History, Art & Culture",6,0.96%,5,2018,2024,3,3
HIST-003,"Peasant, Tribal & Worker Movements","History, Art & Culture",6,0.96%,5,2019,2025,3,3
IR-001,Global Groupings & Multilateral Summits,Current Affairs & International Relations,6,0.96%,3,2022,2024,5,1
ESSAY-003,Bihar Proverbs & Cultural Expressions,Essay & Philosophical Themes,6,0.96%,2,2023,2024,0,6
ECON-002,Industrial Promotion & Infrastructure,Indian & Bihar Economy,5,0.80%,4,2020,2024,3,2
GEO-003,Spatial Distribution of Natural Resources,Geography & Disaster Management,5,0.80%,4,2020,2025,2,3
SCITECH-003,"Biotech, Nanotech & Clean Energy Tech",Science & Technology,5,0.80%,4,2018,2024,3,2
IR-003,Emerging International & Strategic Issues,Current Affairs & International Relations,5,0.80%,3,2019,2024,4,1
ESSAY-002,Socio-Economic & Governance Themes,Essay & Philosophical Themes,5,0.80%,2,2023,2024,0,5
IR-002,Foreign Policy & Neighborhood Diplomacy,Current Affairs & International Relations,4,0.64%,3,2018,2023,2,2
POLITY-003,Federalism & Centre-State Relations,Polity & Governance,4,0.64%,4,2022,2025,2,2
ECON-001,"Poverty, Income & MPI",Indian & Bihar Economy,4,0.64%,3,2019,2023,1,3
GEO-002,Disaster Management & Hydrology,Geography & Disaster Management,4,0.64%,2,2020,2023,2,2
POLITY-005,Local Self-Government (Panchayati Raj),Polity & Governance,3,0.48%,3,2018,2025,0,3
SCITECH-001,Space Technology & Remote Sensing,Science & Technology,3,0.48%,2,2022,2023,2,1
POLITY-006,Parliament & Legislative System,Polity & Governance,2,0.32%,2,2020,2023,0,2
GEO-001,Physical Geography & Indian Monsoon,Geography & Disaster Management,1,0.16%,1,2024,2024,1,0
GEOOPT-001,Physical Geography Optional,Geography (Optional Specialization),1,0.16%,1,2026,2026,0,1
