eval_index,subject_name,topic_id,topic_name,final_score,freq_score,recency_score,qtype_score,marks_score,exposure_score,diversity_score,rep_penalty
1,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
1,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.755,1,0.4,0.7,0.2,1,1,0
1,"Polity & Governance","POLITY-004","Elections, Preamble & Constitutional Bodies",0.747,1,0.4,0.65,0.2,1,1,0
1,"Polity & Governance","POLITY-003","Federalism & Centre-State Relations",0.68,0.67,0.4,0.75,0.2,1,1,0
1,"Polity & Governance","POLITY-006","Parliament & Legislative System",0.65,0.46,0.7,0.5,0.2,1,1,0
1,"Polity & Governance","POLITY-005","Local Self-Government (Panchayati Raj)",0.62,0.58,0.4,0.5,0.2,1,1,0
2,"Economy","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
2,"Economy","ECON-002","Industrial Promotion & Infrastructure",0.708,0.63,0.55,0.8,0.2,1,1,0
2,"Economy","ECON-001","Poverty, Income & MPI",0.696,0.57,0.7,0.63,0.2,1,1,0
3,"Geography","GEO-002","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
3,"Geography","GEO-003","Spatial Distribution of Natural Resources",0.755,1,0.4,0.7,0.2,1,1,0
3,"Geography","GEO-001","Physical Geography & Indian Monsoon",0.697,0.39,0.55,1,0.4,1,1,0
4,"Science & Technology","SCITECH-002","IT, AI, 5G & E-Governance",0.805,1,0.55,0.83,0.2,1,1,0
4,"Science & Technology","SCITECH-003","Biotech, Nanotech & Clean Energy Tech",0.745,0.78,0.55,0.8,0.2,1,1,0
4,"Science & Technology","SCITECH-001","Space Technology & Remote Sensing",0.736,0.6,0.7,0.83,0.2,1,1,0
5,"Current Affairs & IR","IR-001","Global Groupings & Multilateral Summits",0.818,1,0.55,0.92,0.2,1,1,0
5,"Current Affairs & IR","IR-003","Emerging International & Strategic Issues",0.795,0.92,0.55,0.9,0.2,1,1,0
5,"Current Affairs & IR","IR-002","Foreign Policy & Neighborhood Diplomacy",0.779,0.83,0.7,0.75,0.2,1,1,0
6,"Statistics","STAT-001","Data Interpretation & Graphical Analysis",0.755,1,0.55,0.5,0.2,1,1,0
7,"Essay","ESSAY-001","General & Philosophical Reflections",0.725,1,0.4,0.5,0.2,1,1,0
7,"Essay","ESSAY-003","Bihar Proverbs & Cultural Expressions",0.654,0.6,0.55,0.5,0.2,1,1,0
7,"Essay","ESSAY-002","Socio-Economic & Governance Themes",0.642,0.55,0.55,0.5,0.2,1,1,0
8,"Geography Optional","GEOOPT-002","Human & Economic Geography Optional",0.726,1,0.4,0.51,0.2,1,1,0
8,"Geography Optional","GEOOPT-001","Physical Geography Optional",0.556,0.12,0.4,0.5,0.7,1,1,0
9,"History, Art & Culture","HIST-001","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
9,"History, Art & Culture","HIST-002","Art, Architecture & Culture of Bihar",0.652,0.44,0.55,0.75,0.2,1,1,0
9,"History, Art & Culture","HIST-004","Education & Political Consciousness",0.64,0.39,0.55,0.75,0.2,1,1,0
9,"History, Art & Culture","HIST-005","National Thinkers & Social Visions",0.63,0.42,0.55,0.64,0.2,1,1,0
9,"History, Art & Culture","HIST-003","Peasant, Tribal & Worker Movements",0.61,0.39,0.4,0.75,0.2,1,1,0
10,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
10,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.755,1,0.4,0.7,0.2,1,1,0
10,"Polity & Governance","POLITY-004","Elections, Preamble & Constitutional Bodies",0.747,1,0.4,0.65,0.2,1,1,0
10,"Polity & Governance","POLITY-003","Federalism & Centre-State Relations",0.68,0.67,0.4,0.75,0.2,1,1,0
10,"Polity & Governance","POLITY-006","Parliament & Legislative System",0.65,0.46,0.7,0.5,0.2,1,1,0
10,"Polity & Governance","POLITY-005","Local Self-Government (Panchayati Raj)",0.62,0.58,0.4,0.5,0.2,1,1,0
11,"Economy","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
11,"Economy","ECON-002","Industrial Promotion & Infrastructure",0.708,0.63,0.55,0.8,0.2,1,1,0
11,"Economy","ECON-001","Poverty, Income & MPI",0.696,0.57,0.7,0.63,0.2,1,1,0
12,"Geography","GEO-002","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
12,"Geography","GEO-003","Spatial Distribution of Natural Resources",0.755,1,0.4,0.7,0.2,1,1,0
12,"Geography","GEO-001","Physical Geography & Indian Monsoon",0.697,0.39,0.55,1,0.4,1,1,0
13,"Science & Technology","SCITECH-002","IT, AI, 5G & E-Governance",0.805,1,0.55,0.83,0.2,1,1,0
13,"Science & Technology","SCITECH-003","Biotech, Nanotech & Clean Energy Tech",0.745,0.78,0.55,0.8,0.2,1,1,0
13,"Science & Technology","SCITECH-001","Space Technology & Remote Sensing",0.736,0.6,0.7,0.83,0.2,1,1,0
14,"Current Affairs & IR","IR-001","Global Groupings & Multilateral Summits",0.818,1,0.55,0.92,0.2,1,1,0
14,"Current Affairs & IR","IR-003","Emerging International & Strategic Issues",0.795,0.92,0.55,0.9,0.2,1,1,0
14,"Current Affairs & IR","IR-002","Foreign Policy & Neighborhood Diplomacy",0.779,0.83,0.7,0.75,0.2,1,1,0
15,"Statistics","STAT-001","Data Interpretation & Graphical Analysis",0.755,1,0.55,0.5,0.2,1,1,0
16,"Essay","ESSAY-001","General & Philosophical Reflections",0.725,1,0.4,0.5,0.2,1,1,0
16,"Essay","ESSAY-003","Bihar Proverbs & Cultural Expressions",0.654,0.6,0.55,0.5,0.2,1,1,0
16,"Essay","ESSAY-002","Socio-Economic & Governance Themes",0.642,0.55,0.55,0.5,0.2,1,1,0
17,"Geography Optional","GEOOPT-002","Human & Economic Geography Optional",0.726,1,0.4,0.51,0.2,1,1,0
17,"Geography Optional","GEOOPT-001","Physical Geography Optional",0.556,0.12,0.4,0.5,0.7,1,1,0
18,"History, Art & Culture","HIST-001","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
18,"History, Art & Culture","HIST-002","Art, Architecture & Culture of Bihar",0.652,0.44,0.55,0.75,0.2,1,1,0
18,"History, Art & Culture","HIST-004","Education & Political Consciousness",0.64,0.39,0.55,0.75,0.2,1,1,0
18,"History, Art & Culture","HIST-005","National Thinkers & Social Visions",0.63,0.42,0.55,0.64,0.2,1,1,0
18,"History, Art & Culture","HIST-003","Peasant, Tribal & Worker Movements",0.61,0.39,0.4,0.75,0.2,1,1,0
19,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
19,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.755,1,0.4,0.7,0.2,1,1,0
19,"Polity & Governance","POLITY-004","Elections, Preamble & Constitutional Bodies",0.747,1,0.4,0.65,0.2,1,1,0
19,"Polity & Governance","POLITY-003","Federalism & Centre-State Relations",0.68,0.67,0.4,0.75,0.2,1,1,0
19,"Polity & Governance","POLITY-006","Parliament & Legislative System",0.65,0.46,0.7,0.5,0.2,1,1,0
19,"Polity & Governance","POLITY-005","Local Self-Government (Panchayati Raj)",0.62,0.58,0.4,0.5,0.2,1,1,0
20,"Economy","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
20,"Economy","ECON-002","Industrial Promotion & Infrastructure",0.708,0.63,0.55,0.8,0.2,1,1,0
20,"Economy","ECON-001","Poverty, Income & MPI",0.696,0.57,0.7,0.63,0.2,1,1,0
