document_name,chunks_total,chunks_with_text,empty_chunks,missing_page_numbers,missing_subject,missing_topic
"BPSC_Mains_Syllabus_Overview.md",5,5,0,5,5,5
"keec101.pdf",93,93,0,93,0,93
"ncert-class-7-social-science-book-pdf-our-environment.pdf",461,461,0,461,0,461
"01_Old_NCERT_Medieval_India.pdf",33,33,0,33,0,33
"ncert-class-10-social-science-book-pdf-geography.pdf",1059,1059,0,1059,0,1059
"keec102.pdf",168,168,0,168,0,168
"keec103.pdf",144,144,0,144,0,144
"ncert-class-9-social-science-book-pdf-contemporary-india-book.pdf",891,891,0,891,0,891
"keec107.pdf",123,123,0,123,0,123
"keec104.pdf",114,114,0,114,0,114
"keec105.pdf",123,123,0,123,0,123
"keec106.pdf",156,156,0,156,0,156
"keec108.pdf",120,120,0,120,0,120
"keec1gl.pdf",78,78,0,78,0,78
"keec1ps.pdf",78,78,0,78,0,78
"ncert-class-10-social-science-book-pdf-economics.pdf",687,687,0,687,0,687
"ncert-class-8-social-science-book-pdf-resource-and-development.pdf",1611,1611,0,1611,0,1611
"ncert-class-9-social-science-book-pdf-economics.pdf",354,354,0,354,0,354
"kegy211.pdf",84,84,0,84,0,84
"kegy101.pdf",30,30,0,30,0,30
"kegy212.pdf",63,63,0,63,0,63
"kegy102.pdf",78,78,0,78,0,78
"kegy103.pdf",99,99,0,99,0,99
"kegy104.pdf",123,123,0,123,0,123
"kegy105.pdf",72,72,0,72,0,72
"kegy106.pdf",162,162,0,162,0,162
"kegy1ps.pdf",45,45,0,45,0,45
"kegy201.pdf",81,81,0,81,0,81
"kegy202.pdf",45,45,0,45,0,45
"kegy213.pdf",60,60,0,60,0,60
"kegy203.pdf",78,78,0,78,0,78
"kegy204.pdf",78,78,0,78,0,78
"kegy205.pdf",108,108,0,108,0,108
"kegy206.pdf",144,144,0,144,0,144
"kegy207.pdf",30,30,0,30,0,30
"kegy208.pdf",69,69,0,69,0,69
"kegy209.pdf",84,84,0,84,0,84
"kegy210.pdf",48,48,0,48,0,48
"kegy214.pdf",48,48,0,48,0,48
"kegy2gl.pdf",39,39,0,39,0,39
"kegy2ps.pdf",42,42,0,42,0,42
"ncert-class-6-social-science-book-pdf-the-earth-our-habitat.pdf",336,336,0,336,0,336
"kehs106.pdf",131,131,0,131,0,131
"kefa101.pdf",48,48,0,48,0,48
"01_Old_NCERT_Ancient_India.pdf",21,21,0,21,0,21
"kehs104.pdf",138,138,0,138,0,138
"lehs202.pdf",146,146,0,146,0,146
"kehs101.pdf",186,186,0,186,0,186
"kefa102.pdf",48,48,0,48,0,48
"kefa103.pdf",45,45,0,45,0,45
"kefa104.pdf",162,162,0,162,0,162
"kefa105.pdf",36,36,0,36,0,36
"kefa106.pdf",186,186,0,186,0,186
"lehs301.pdf",152,152,0,152,0,152
"kefa107.pdf",45,45,0,45,0,45
"kefa108.pdf",111,111,0,111,0,111
"kefa1ps.pdf",48,48,0,48,0,48
"kehs102.pdf",360,360,0,360,0,360
"kehs103.pdf",42,42,0,42,0,42
"kehs105.pdf",86,86,0,86,0,86
"kehs1ps.pdf",44,44,0,44,0,44
"kehs107.pdf",168,168,0,168,0,168
"lehs101.pdf",122,122,0,122,0,122
"lehs102.pdf",124,124,0,124,0,124
"lehs103.pdf",134,134,0,134,0,134
"lehs3ps.pdf",44,44,0,44,0,44
"lehs104.pdf",126,126,0,126,0,126
"lehs303.pdf",162,162,0,162,0,162
"lehs1ps.pdf",48,48,0,48,0,48
"lehs203.pdf",102,102,0,102,0,102
"lehs201.pdf",130,130,0,130,0,130
"lehs302.pdf",144,144,0,144,0,144
"lehs204.pdf",144,144,0,144,0,144
"lehs2ps.pdf",43,43,0,43,0,43
"lehs304.pdf",144,144,0,144,0,144
"ncert-class-10-social-science-book-pdf-history.pdf",922,922,0,922,0,922
"keps107.pdf",29,29,0,0,0,0
"keps1ps.pdf",20,20,0,0,0,0
"leps105.pdf",45,45,0,0,0,0
"ncert-class-6-social-science-book-pdf-our-pasts-1.pdf",247,247,0,247,0,247
"ncert-class-7-social-science-book-pdf-history-our-pasts-ii.pdf",265,265,0,265,0,265
"old-ncert-books-for-upsc-Modern-India-Bipan-Chandra.pdf",11,11,0,0,0,0
"The_Story_of_Civilization_Part-_I_by_Arjun_Dev.pdf",4,4,0,0,0,0
"ncert-class-8-social-science-book-pdf-history-our-pasts-III.pdf",18,18,0,18,0,18
"ncert-class-9-social-science-book-pdf-history.pdf",437,437,0,0,0,0
"keps101.pdf",32,32,0,0,0,0
"keps104.pdf",33,33,0,0,0,0
"keps102.pdf",36,36,0,0,0,0
"keps103.pdf",45,45,0,0,0,0
"keps204.pdf",45,45,0,0,0,0
"keps105.pdf",27,27,0,0,0,0
"keps106.pdf",39,39,0,0,0,0
"keps108.pdf",39,39,0,0,0,0
"leps106.pdf",47,47,0,0,0,0
"keps201.pdf",51,51,0,0,0,0
"keps202.pdf",48,48,0,0,0,0
"keps203.pdf",55,55,0,0,0,0
"keps205.pdf",44,44,0,0,0,0
"keps206.pdf",48,48,0,0,0,0
"keps207.pdf",47,47,0,0,0,0
"keps208.pdf",38,38,0,0,0,0
"keps209.pdf",49,49,0,0,0,0
"keps210.pdf",48,48,0,0,0,0
"keps2ps.pdf",22,22,0,0,0,0
"leps101.pdf",41,41,0,0,0,0
"leps102.pdf",36,36,0,0,0,0
"leps103.pdf",44,44,0,0,0,0
"leps104.pdf",45,45,0,0,0,0
"leps107.pdf",31,31,0,0,0,0
"leps1ps.pdf",17,17,0,0,0,0
