document_id,file_name,document_type,source,subject,topic,language,chunks_count,checksum,created_at
"DOC-0001","BPSC_Mains_Syllabus_Overview.md","syllabus","syllabus","Polity & Governance","N/A","English",5,"N/A","2026-09-08T12:08:43.113089+00:00"
"DOC-0002","keec101.pdf","ncert","ncert","economics","N/A","English",93,"N/A","2026-09-08T13:10:58.316373+00:00"
"DOC-0003","ncert-class-7-social-science-book-pdf-our-environment.pdf","ncert","ncert","geography","N/A","English",461,"N/A","2026-09-08T13:49:46.801695+00:00"
"DOC-0004","01_Old_NCERT_Medieval_India.pdf","ncert","ncert","history","N/A","English",33,"N/A","2026-09-08T13:52:44.276892+00:00"
"DOC-0005","ncert-class-10-social-science-book-pdf-geography.pdf","ncert","ncert","geography","N/A","English",1059,"N/A","2026-09-08T13:29:41.525403+00:00"
"DOC-0006","keec102.pdf","ncert","ncert","economics","N/A","English",168,"N/A","2026-09-08T13:11:19.729972+00:00"
"DOC-0007","keec103.pdf","ncert","ncert","economics","N/A","English",144,"N/A","2026-09-08T13:11:59.730896+00:00"
"DOC-0008","ncert-class-9-social-science-book-pdf-contemporary-india-book.pdf","ncert","ncert","geography","N/A","English",891,"N/A","2026-09-08T14:16:00.738573+00:00"
"DOC-0009","keec107.pdf","ncert","ncert","economics","N/A","English",123,"N/A","2026-09-08T13:14:32.589574+00:00"
"DOC-0010","keec104.pdf","ncert","ncert","economics","N/A","English",114,"N/A","2026-09-08T13:12:25.15543+00:00"
"DOC-0011","keec105.pdf","ncert","ncert","economics","N/A","English",123,"N/A","2026-09-08T13:13:09.906652+00:00"
"DOC-0012","keec106.pdf","ncert","ncert","economics","N/A","English",156,"N/A","2026-09-08T13:13:35.353187+00:00"
"DOC-0013","keec108.pdf","ncert","ncert","economics","N/A","English",120,"N/A","2026-09-08T13:14:33.460334+00:00"
"DOC-0014","keec1gl.pdf","ncert","ncert","economics","N/A","English",78,"N/A","2026-09-08T13:14:57.35663+00:00"
"DOC-0015","keec1ps.pdf","ncert","ncert","economics","N/A","English",78,"N/A","2026-09-08T13:15:13.294742+00:00"
"DOC-0016","ncert-class-10-social-science-book-pdf-economics.pdf","ncert","ncert","economics","N/A","English",687,"N/A","2026-09-08T13:15:29.749748+00:00"
"DOC-0017","ncert-class-8-social-science-book-pdf-resource-and-development.pdf","ncert","ncert","geography","N/A","English",1611,"N/A","2026-09-08T13:53:38.519754+00:00"
"DOC-0018","ncert-class-9-social-science-book-pdf-economics.pdf","ncert","ncert","economics","N/A","English",354,"N/A","2026-09-08T13:17:49.469128+00:00"
"DOC-0019","kegy211.pdf","ncert","ncert","geography","N/A","English",84,"N/A","2026-09-08T13:31:42.835084+00:00"
"DOC-0020","kegy101.pdf","ncert","ncert","geography","N/A","English",30,"N/A","2026-09-08T13:19:06.686561+00:00"
"DOC-0021","kegy212.pdf","ncert","ncert","geography","N/A","English",63,"N/A","2026-09-08T13:24:27.853715+00:00"
"DOC-0022","kegy102.pdf","ncert","ncert","geography","N/A","English",78,"N/A","2026-09-08T13:19:13.337611+00:00"
"DOC-0023","kegy103.pdf","ncert","ncert","geography","N/A","English",99,"N/A","2026-09-08T13:19:30.882637+00:00"
"DOC-0024","kegy104.pdf","ncert","ncert","geography","N/A","English",123,"N/A","2026-09-08T13:19:55.603198+00:00"
"DOC-0025","kegy105.pdf","ncert","ncert","geography","N/A","English",72,"N/A","2026-09-08T13:20:16.846271+00:00"
"DOC-0026","kegy106.pdf","ncert","ncert","geography","N/A","English",162,"N/A","2026-09-08T13:20:49.483513+00:00"
"DOC-0027","kegy1ps.pdf","ncert","ncert","geography","N/A","English",45,"N/A","2026-09-08T13:21:06.12884+00:00"
"DOC-0028","kegy201.pdf","ncert","ncert","geography","N/A","English",81,"N/A","2026-09-08T13:21:15.980837+00:00"
"DOC-0029","kegy202.pdf","ncert","ncert","geography","N/A","English",45,"N/A","2026-09-08T13:21:32.676409+00:00"
"DOC-0030","kegy213.pdf","ncert","ncert","geography","N/A","English",60,"N/A","2026-09-08T13:24:41.792111+00:00"
"DOC-0031","kegy203.pdf","ncert","ncert","geography","N/A","English",78,"N/A","2026-09-08T13:21:42.024472+00:00"
"DOC-0032","kegy204.pdf","ncert","ncert","geography","N/A","English",78,"N/A","2026-09-08T13:21:59.905941+00:00"
"DOC-0033","kegy205.pdf","ncert","ncert","geography","N/A","English",108,"N/A","2026-09-08T13:22:18.931149+00:00"
"DOC-0034","kegy206.pdf","ncert","ncert","geography","N/A","English",144,"N/A","2026-09-08T13:22:41.433506+00:00"
"DOC-0035","kegy207.pdf","ncert","ncert","geography","N/A","English",30,"N/A","2026-09-08T13:23:11.723023+00:00"
"DOC-0036","kegy208.pdf","ncert","ncert","geography","N/A","English",69,"N/A","2026-09-08T13:23:18.184383+00:00"
"DOC-0037","kegy209.pdf","ncert","ncert","geography","N/A","English",84,"N/A","2026-09-08T13:23:41.401992+00:00"
"DOC-0038","kegy210.pdf","ncert","ncert","geography","N/A","English",48,"N/A","2026-09-08T13:23:59.730492+00:00"
"DOC-0039","kegy214.pdf","ncert","ncert","geography","N/A","English",48,"N/A","2026-09-08T13:24:52.127768+00:00"
"DOC-0040","kegy2gl.pdf","ncert","ncert","geography","N/A","English",39,"N/A","2026-09-08T13:25:01.926727+00:00"
