class_level,subject,book_name,language,document_id,status,chunks_count
"Class 6","economics","keec101.pdf","English","NCERT-001","INGESTED",93
"Class 7","geography","ncert-class-7-social-science-book-pdf-our-environment.pdf","English","NCERT-002","INGESTED",461
"Class 11-12","history","01_Old_NCERT_Medieval_India.pdf","English","NCERT-003","INGESTED",33
"Class 10","geography","ncert-class-10-social-science-book-pdf-geography.pdf","English","NCERT-004","INGESTED",1059
"Class 6","economics","keec102.pdf","English","NCERT-005","INGESTED",168
"Class 6","economics","keec103.pdf","English","NCERT-006","INGESTED",144
"Class 9","geography","ncert-class-9-social-science-book-pdf-contemporary-india-book.pdf","English","NCERT-007","INGESTED",891
"Class 6","economics","keec107.pdf","English","NCERT-008","INGESTED",123
"Class 6","economics","keec104.pdf","English","NCERT-009","INGESTED",114
"Class 6","economics","keec105.pdf","English","NCERT-010","INGESTED",123
"Class 6","economics","keec106.pdf","English","NCERT-011","INGESTED",156
"Class 6","economics","keec108.pdf","English","NCERT-012","INGESTED",120
"Class 6","economics","keec1gl.pdf","English","NCERT-013","INGESTED",78
"Class 6","economics","keec1ps.pdf","English","NCERT-014","INGESTED",78
"Class 10","economics","ncert-class-10-social-science-book-pdf-economics.pdf","English","NCERT-015","INGESTED",687
"Class 8","geography","ncert-class-8-social-science-book-pdf-resource-and-development.pdf","English","NCERT-016","INGESTED",1611
"Class 9","economics","ncert-class-9-social-science-book-pdf-economics.pdf","English","NCERT-017","INGESTED",354
"Class 6","geography","kegy211.pdf","English","NCERT-018","INGESTED",84
"Class 6","geography","kegy101.pdf","English","NCERT-019","INGESTED",30
"Class 6","geography","kegy212.pdf","English","NCERT-020","INGESTED",63
"Class 6","geography","kegy102.pdf","English","NCERT-021","INGESTED",78
"Class 6","geography","kegy103.pdf","English","NCERT-022","INGESTED",99
"Class 6","geography","kegy104.pdf","English","NCERT-023","INGESTED",123
"Class 6","geography","kegy105.pdf","English","NCERT-024","INGESTED",72
"Class 6","geography","kegy106.pdf","English","NCERT-025","INGESTED",162
"Class 6","geography","kegy1ps.pdf","English","NCERT-026","INGESTED",45
"Class 6","geography","kegy201.pdf","English","NCERT-027","INGESTED",81
"Class 6","geography","kegy202.pdf","English","NCERT-028","INGESTED",45
"Class 6","geography","kegy213.pdf","English","NCERT-029","INGESTED",60
"Class 6","geography","kegy203.pdf","English","NCERT-030","INGESTED",78
"Class 6","geography","kegy204.pdf","English","NCERT-031","INGESTED",78
"Class 6","geography","kegy205.pdf","English","NCERT-032","INGESTED",108
"Class 6","geography","kegy206.pdf","English","NCERT-033","INGESTED",144
"Class 6","geography","kegy207.pdf","English","NCERT-034","INGESTED",30
