run_index,subject,target_topic,final_score,freq_score_25pct,recency_score_20pct,qtype_score_15pct,marks_score_10pct,exposure_score_20pct,diversity_score_10pct,repetition_penalty
1,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
2,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
3,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
4,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
5,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
6,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
7,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
8,"Polity & Governance","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
9,"Polity & Governance","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
10,"Polity & Governance","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
11,"Polity & Governance","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
12,"Polity & Governance","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
13,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
14,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
15,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
16,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
17,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
18,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
19,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
20,"History, Art & Culture","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
21,"Economy","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
22,"Economy","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
23,"Economy","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
24,"Economy","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
25,"Economy","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
26,"Economy","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
27,"Economy","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
28,"Economy","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
29,"Geography","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
30,"Geography","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
